,Variable Name,Description,Type,Code=Value,Source File
0,sidno,SHARE ID NUMBER,NUMERIC,,Exam1
1,race1c,RACE / ETHNICITY,NUMERIC,"1=WHITE, CAUCASIAN; 2=CHINESE AMERICAN; 3=BLACK, AFRICAN-AMERICAN; 4=HISPANIC",Exam1
2,lang1,LANGUAGE SPOKEN AT EXAM 1,NUMERIC,1=ENGLISH; 2=SPANISH; 3=CHINESE,Exam1
3,gender1,GENDER,NUMERIC,0=FEMALE; 1=MALE,Exam1
4,site1c,SITE,NUMERIC,3=WFU; 4=COL; 5=JHU; 6=UMN; 7=NWU; 8=UCLA,Exam1
5,month1,MONTH OF EXAM 1,NUMERIC,1=JANUARY; 2=FEBRUARY; 3=MARCH; 4=APRIL; 5=MAY; 6=JUNE; 7=JULY; 8=AUGUST; 9=SEPTEMBER; 10=OCTOBER; 11=NOVEMBER; 12=DECEMBER,Exam1
6,season1,SEASON OF EXAM 1,NUMERIC,1=JANUARY TO MARCH; 2=APRIL TO JUNE; 3=JULY TO SEPTEMBER; 4=OCTOBER TO DECEMBER,Exam1
7,claud1t,INTERMITTENT CLAUDICATION BY 1998 WORLD HEALTH ORGANIZATION CRITERIA - E1,NUMERIC,0=NO; 1=YES,Exam1
8,dm031c,EXAM 1 DIABETES MELLITUS BY 2003 ADA FASTING CRITERIA ALGORITHM,NUMERIC,0=NORMAL; 1=IFG; 2=UNTREATED DIABETES; 3=TREATED DIABETES,Exam1
9,dm031t,RECODE OF DM031C COMBINING UNTREATED AND TREATED DIABETES - E1,NUMERIC,0=NORMAL OR IFG; 1=DIABETES (TREATED AND NON-TREATED),Exam1
10,dm031t2,SECONDARY RECODE OF DM031C OMITTING IFG AND COMBINING UNTREATED AND TREATED DIABETES - E1,NUMERIC,0=NORMAL; 1=DIABETES (TREATED AND NON-TREATED),Exam1
11,htn1c,HYPERTENSION BY JNC VI (1997) CRITERIA,NUMERIC,0=NO; 1=YES,Exam1
12,htnstg1c,HYPERTENSION STAGE,NUMERIC,1=OPTIMAL; 2=NORMAL; 3=HIGH-NORMAL; 4=STAGE 1 HYPERTENSION; 5=STAGE 2 HYPERTENSION; 6=STAGE 3 HYPERTENSION,Exam1
13,cer451q1,CHOLESTEROL ESTER TRANSFER PROTEIN - R451Q GENOTYPE,NUMERIC,1=RR; 2=RQ; 3=QQ,Exam1
14,oxldl1,OxLDL (mg/dl),NUMERIC,,Exam1
15,f81c,CALIBRATED FACTOR VIII (%),NUMERIC,,Exam1
16,renins1c,INDICATOR OF RENAL INSUFFICIENCY (GFR<60),NUMERIC,,Exam1
17,rbrach1,RIGHT BRACHIAL BP (mmHg),NUMERIC,,Exam1
18,rdpedis1,RIGHT DORSALIS PEDIS BP (mmHg),NUMERIC,,Exam1
19,rptib1,RIGHT POSTERIOR TIBIAL BP (mmHg),NUMERIC,,Exam1
20,lptib1,LEFT POSTERIOR TIBIAL BP (mmHg),NUMERIC,,Exam1
21,ldpedis1,LEFT DORSALIS PEDIS BP (mmHg),NUMERIC,,Exam1
22,lbrach1,LEFT BRACHIAL BP (mmHg),NUMERIC,,Exam1
23,aabpcmp1,AABP COMPLETED SUCCESSFULLY,NUMERIC,0=NO; 1=YES,Exam1
24,rluoccl1,REASON AABP INCOMPLETE (R): UNABLE TO OCCLUDE,NUMERIC,0=NO; 1=YES,Exam1
25,rlulcer1,REASON AABP INCOMPLETE (R): ULCERATION,NUMERIC,0=NO; 1=YES,Exam1
26,rulocpt1,REASON AABP INCOMPLETE (R): UNABLE TO LOCATE PT,NUMERIC,0=NO; 1=YES,Exam1
27,lluoccl1,REASON AABP INCOMPLETE (L): UNABLE TO OCCLUDE,NUMERIC,0=NO; 1=YES,Exam1
28,llulcer1,REASON AABP INCOMPLETE (L): ULCERATION,NUMERIC,0=NO; 1=YES,Exam1
29,lulocdp1,REASON AABP INCOMPLETE (L): UNABLE TO LOCATE DP,NUMERIC,0=NO; 1=YES,Exam1
30,lulocpt1,REASON AABP INCOMPLETE (L): UNABLE TO LOCATE PT,NUMERIC,0=NO; 1=YES,Exam1
31,rulocdp1,REASON AABP INCOMPLETE (R): UNABLE TO LOCATE DP,NUMERIC,0=NO; 1=YES,Exam1
32,abi1c,ANKLE-BRACHIAL INDEX,NUMERIC,,Exam1
33,htcm1,HEIGHT (cm),NUMERIC,,Exam1
34,htmodp1,"HEIGHT, PROTOCOL MODIFICATION",NUMERIC,0=NO; 1=YES,Exam1
35,wtlb1,WEIGHT (lbs),NUMERIC,,Exam1
36,wtmodp1,"WEIGHT, PROTOCOL MODIFICATION",NUMERIC,0=NO; 1=YES,Exam1
37,waistcm1,WAIST CIRCUMFERENCE (cm),NUMERIC,,Exam1
38,hwmodp1,"GIRTH, PROTOCOL MODIFICATION",NUMERIC,0=NO; 1=YES,Exam1
39,cmtmodp1,"COMMENTS, ANTHRO PROTOCOL MODIFICATION",NUMERIC,0=NO; 1=YES,Exam1
40,hipcm1,HIP CIRCUMFERENCE (CM),NUMERIC,,Exam1
41,bmi1c,BODY MASS INDEX (kg)/(m^2),NUMERIC,,Exam1
42,bmicat1c,"BODY MASS INDEX, WHO CATEGORIES",NUMERIC,1=NORMAL; 2=GRADE 1 OVERWEIGHT; 3=GRADE 2 OVERWEIGHT; 4=GRADE 3 OVERWEIGHT,Exam1
43,bsa1c,BODY SURFACE AREA,NUMERIC,,Exam1
44,oardis1,FLOW PARAMETER: AORTIC DISTENSIBILITY,NUMERIC,,Exam1
45,presys1,SYSTOLIC BLOOD PRESSURE BEFORE SERIES 7 MRI,NUMERIC,,Exam1
46,predia1,DIASTOLIC BLOOD PRESSURE BEFORE SERIES 7 MRI,NUMERIC,,Exam1
47,postsys1,SYSTOLIC BLOOD PRESSURE AFTER SERIES 7 MRI,NUMERIC,,Exam1
48,postdia1,DIASTOLIC BLOOD PRESSURE AFTER SERIES 7 MRI,NUMERIC,,Exam1
49,oaormx1,FLOW PARAMETER: MAXIMUM AORTIC AREA,NUMERIC,,Exam1
50,oaormn1,FLOW PARAMETER: MINIMUM AORTIC AREA,NUMERIC,,Exam1
51,mripp1,PULSE PRESSURES AVERAGE FROM THE BRACHIAL BLOOD PRESSURES BEFORE AND AFTER SERIES 7,NUMERIC,,Exam1
52,nine11,CT DATA CORRECTED BECAUSE OF 9/11/01,NUMERIC,0=NO; 1=YES,Exam1
53,agatum1c,"MEAN: AGATSTON CALCIUM SCORE, UNADJUSTED",NUMERIC,,Exam1
54,volum1c,"MEAN: TOTAL CALCIUM VOLUME, UNADJUSTED",NUMERIC,,Exam1
